adj_thresh,num_nodes,num_edges,avg_degree,density,number_connected_components
0.65,7287,3772,1.035268285988747,0.00014209007493669326,6587
0.64,7287,4336,1.1900644984218471,0.00016333578073316596,6548
0.63,7287,4942,1.356388088376561,0.00018616361355703554,6513
0.62,7287,5593,1.5350624399615753,0.00021068658248168753,6474
0.61,7287,6305,1.7304789350898861,0.0002375074025651779,6436
0.6,7287,7120,1.954164951283107,0.0002682082008349035,6388
0.59,7287,7975,2.188829422258817,0.000300415786749769,6347
0.58,7287,8981,2.4649375600384245,0.00033831149602503766,6299
0.57,7287,9965,2.7350075476876627,0.0003753784720954794,6255
0.56,7287,11046,3.031700288184438,0.0004160994082053854,6197
0.55,7287,12305,3.377247152463291,0.00046352554933616396,6130
0.54,7287,13666,3.7507890764374916,0.0005147939989620493,6064
0.53,7287,15188,4.1685192809112115,0.0005721272688596228,6004
0.52,7287,16880,4.6329079182105115,0.0006358643862490409,5939
0.51,7287,18684,5.128036228900783,0.0007038205090448507,5879
0.5,7287,20653,5.668450665568821,0.0007779921308768627,5817
0.49,7287,22707,6.2321943186496505,0.0008553656764547969,5754
0.48,7287,24940,6.845066556882119,0.0009394820967447322,5685
0.47,7287,27464,7.537807053657198,0.0010345603971530603,5626
0.46,7287,30189,8.285714285714286,0.0011372103054782166,5557
0.45,7287,33136,9.09455194181419,0.0012482228852338992,5483
0.44,7287,36311,9.965966790174283,0.0013678241545668794,5408
0.43,7287,39857,10.939206806641964,0.0015014008793085322,5328
0.42,7287,43743,12.005763688760807,0.0016477852990338742,5259
0.41,7287,47980,13.168656511595993,0.0018073917803453187,5188
0.4,7287,52534,14.418553588582407,0.001978939553744497,5107
0.39,7287,57440,15.765061067654727,0.0021637470584209067,5025
0.38,7287,62767,17.22711678331275,0.002364413503062414,4935
0.37,7287,68415,18.777274598600247,0.002577171918556169,4845
0.36,7287,74575,20.467956635103608,0.0028092172159077146,4766
0.35,7287,81355,22.328804720735558,0.003064617721758929,4679
0.34,7287,88563,24.30712227254014,0.00333614085541314,4579
0.33,7287,96522,26.491560312885962,0.0036359539271048533,4479
0.32,7287,105048,28.83161794977357,0.003957125713666424,4375
0.31,7287,114387,31.394812680115272,0.004308922959115465,4278
0.3,7287,124411,34.14601344860711,0.0046865239429875255,4166
0.29,7287,135503,37.19033895979141,0.005104356156984822,4058
0.28,7287,147491,40.48058185810347,0.0055559404142332515,3933
0.27,7287,160425,44.03046521202141,0.006043160199289241,3836
0.26,7287,174835,47.9854535474132,0.006585980448450893,3707
0.25,7287,190326,52.23713462330177,0.00716952163372245,3585
0.24,7287,207522,56.95677233429395,0.007817289642368096,3463
0.23,7287,226664,62.21051187045423,0.008538362869949799,3345
0.22,7287,247321,67.88006038150131,0.009316505679591176,3220
0.21,7287,270074,74.12487992315081,0.010173604161837883,3091
0.2,7287,295614,81.13462330177028,0.011135688073259714,2971
0.19,7287,324245,88.99272677370661,0.01221420899995973,2823
0.18,7287,356411,97.82105118704543,0.013425892284798988,2659
0.17,7287,392135,107.62590915328667,0.014771604330673439,2517
0.16,7287,432653,118.74653492520928,0.016297904875817906,2374
0.15,7287,478798,131.41155482365858,0.018036172772942432,2203
0.14,7287,531577,145.89735144778373,0.02002434140101341,2007
0.13,7287,592839,162.7114038699053,0.02233206201892744,1816
0.12,7287,663548,182.11829285028134,0.02499564820893238,1613
0.11,7287,746232,204.81185673116508,0.02811032895020108,1407
0.1,7287,844746,231.850144092219,0.031821320902033906,1192
0.09,7287,962705,264.22533278441057,0.036264799997860364,990
0.08,7287,1106559,303.70769864141624,0.04168373574545927,786
0.07,7287,1286265,353.03005351996705,0.04845320525939707,572
0.06,7287,1515301,415.8915877590229,0.05708092063670367,378
0.05,7287,1816540,498.5700562645808,0.06842850072256118,230
0.04,7287,2233158,612.9156031288596,0.08412237210113363,129
0.03,7287,2853455,783.1631672842047,0.10748876849906736,50
0.02,7287,3905599,1071.936050500892,0.1471227080017694,12
0.01,7287,6220854,1707.3841086867023,0.23433764873547933,1
0.0,7287,26546541,7286.0,1.0,1
