adj_thresh,num_nodes,num_edges,avg_degree,density,number_connected_components
0.59,7287,6941,1.905036366131467,0.0002614653261229024,6397
0.58,7287,7794,2.139151914368053,0.00029359757265551094,6351
0.57,7287,8788,2.4119665157129133,0.0003310412456372376,6309
0.56,7287,9807,2.69164265129683,0.0003694266608971768,6261
0.55,7287,10878,2.9855907780979827,0.0004097709000957978,6204
0.54,7287,12153,3.3355290242898312,0.00045779975628463236,6137
0.53,7287,13535,3.714834637024839,0.0005098592694242161,6071
0.52,7287,15057,4.132564841498559,0.0005671925393217896,6005
0.51,7287,16775,4.604089474406477,0.0006319090686805486,5947
0.5,7287,18610,5.107726087553177,0.0007010329519013419,5883
0.49,7287,20620,5.659393440373267,0.0007767490310696222,5819
0.48,7287,22714,6.234115548236586,0.0008556293642926964,5753
0.47,7287,24998,6.860985316316729,0.0009416669388301851,5685
0.46,7287,27572,7.567448881569919,0.001038628723794938,5622
0.45,7287,30372,8.335940716344174,0.0011441038589547316,5550
0.44,7287,33407,9.168930972965555,0.001258431371529722,5475
0.43,7287,36709,10.075202415260053,0.0013828166916360215,5397
0.42,7287,40340,11.071771648140524,0.0015195953401235965,5316
0.41,7287,44353,12.17318512419377,0.0016707638106222577,5253
0.4,7287,48670,13.358034856593934,0.0018333838672239821,5179
0.39,7287,53453,14.6707835872101,0.0020135579998915866,5083
0.38,7287,58519,16.06120488541238,0.002204392655148556,5003
0.37,7287,64000,17.565527651982983,0.0024108602322238516,4911
0.36,7287,69921,19.190613421160972,0.0026339024733956864,4825
0.35,7287,76347,20.954302181967886,0.0028759679085874124,4743
0.34,7287,83471,22.909564978729243,0.0031443267881868303,4651
0.33,7287,91011,24.97900370522849,0.0034283562592957026,4542
0.32,7287,99303,27.254837381638534,0.0037407133381332056,4448
0.31,7287,108352,29.73843831480719,0.004081586373154981,4343
0.3,7287,118042,32.39796898586524,0.004446605680190123,4239
0.29,7287,128685,35.3190613421161,0.004847524202870724,4124
0.28,7287,140415,38.5384932070811,0.005289389679808002,4005
0.27,7287,152976,41.98600247015233,0.005762558670073061,3889
0.26,7287,166906,45.809249348154246,0.006287297467493035,3782
0.25,7287,182121,49.98517908604364,0.006860441818013126,3643
0.24,7287,198761,54.55221627555922,0.007487265478391328,3519
0.23,7287,217321,59.64621929463428,0.008186414945736244,3393
0.22,7287,237639,65.22272540139976,0.008951787730085061,3283
0.21,7287,259857,71.32070811033347,0.009788732927578023,3154
0.2,7287,284737,78.14930698504186,0.010725954842855044,3022
0.19,7287,312728,85.83175518045834,0.011780367167232823,2881
0.18,7287,344006,94.41635789762591,0.012958599766349974,2724
0.17,7287,379157,104.063949499108,0.014282727079207795,2569
0.16,7287,418653,114.904075751338,0.01577052920001894,2426
0.15,7287,463715,127.27185398655139,0.017468000821651303,2253
0.14,7287,515467,141.47577878413614,0.019417482676933315,2063
0.13,7287,575420,157.93056127350076,0.021675893669160135,1871
0.12,7287,644988,177.02428983120626,0.024296498741587465,1675
0.11,7287,726355,199.35638808837655,0.027361568499639933,1443
0.1,7287,822803,225.82763825991492,0.03099473486960128,1240
0.09,7287,938753,257.65143406065596,0.035362535555950585,1028
0.08,7287,1080489,296.5524907369288,0.040701686897739335,821
0.07,7287,1257699,345.18979003705226,0.04737713286262041,593
0.06,7287,1483134,407.0629888843145,0.055869199682173284,398
0.05,7287,1780898,488.7877041306436,0.06708587759135927,249
0.04,7287,2192441,601.7403595443941,0.08258857528745459,134
0.03,7287,2805892,770.1089611637162,0.10569708497992263,52
0.02,7287,3847291,1055.9327569644572,0.14492626365144898,12
0.01,7287,6142661,1685.9231508165226,0.2313921425770687,1
0.0,7287,26546541,7286.0,1.0,1
